"Obs","AREA","RS_EXIT","RISK","SE","CIL","CIU"
"1",1,11183.00,0.00061,0.000676,0.000068,0.00539
"2",1,11204.00,0.00114,0.000980,0.000210,0.00616
"3",1,11328.00,0.00162,0.001226,0.000367,0.00714
"4",1,11372.00,0.00207,0.001448,0.000526,0.00815
"5",1,11440.00,0.00241,0.001599,0.000655,0.00885
"6",1,11491.00,0.00274,0.001751,0.000785,0.00959
"7",1,11497.00,0.00308,0.001905,0.000916,0.01035
"8",1,11609.00,0.00339,0.002042,0.001038,0.01104
"9",1,11638.00,0.00369,0.002180,0.001160,0.01175
"10",1,11654.00,0.00400,0.002319,0.001282,0.01246
"11",1,11678.00,0.00427,0.002442,0.001393,0.01310
"12",1,11682.00,0.00455,0.002567,0.001504,0.01375
"13",1,11683.00,0.00481,0.002686,0.001612,0.01437
"14",1,11687.00,0.00509,0.002811,0.001722,0.01502
"15",1,11687.00,0.00536,0.002937,0.001833,0.01569
"16",1,11689.00,0.00564,0.003063,0.001944,0.01635
"17",1,11739.00,0.00588,0.003174,0.002043,0.01694
"18",1,11740.00,0.00613,0.003285,0.002142,0.01753
"19",1,11752.00,0.00636,0.003391,0.002238,0.01809
"20",1,11791.00,0.00659,0.003496,0.002332,0.01864
"21",1,11792.00,0.00682,0.003601,0.002426,0.01920
"22",1,11851.00,0.00706,0.003706,0.002520,0.01975
"23",1,11851.00,0.00729,0.003811,0.002614,0.02031
"24",1,11853.00,0.00752,0.003916,0.002708,0.02087
"25",1,11879.00,0.00774,0.004016,0.002796,0.02140
"26",1,11916.00,0.00794,0.004108,0.002879,0.02189
"27",1,11918.00,0.00814,0.004201,0.002961,0.02238
"28",1,11929.00,0.00833,0.004287,0.003039,0.02284
"29",1,11949.00,0.00852,0.004374,0.003116,0.02330
"30",1,11960.00,0.00871,0.004460,0.003193,0.02376
"31",1,11961.00,0.00889,0.004542,0.003266,0.02420
"32",1,11968.00,0.00908,0.004628,0.003343,0.02466
