"Obs","AREA","RS_EXIT","RISK","SE","CIL","CIU"
"1",1,11183.00,0.00062,0.000686,0.000070,0.00546
"2",1,11204.00,0.00116,0.000994,0.000214,0.00624
"3",1,11328.00,0.00165,0.001243,0.000374,0.00724
"4",1,11372.00,0.00210,0.001468,0.000537,0.00826
"5",1,11440.00,0.00245,0.001620,0.000668,0.00896
"6",1,11491.00,0.00279,0.001774,0.000801,0.00970
"7",1,11497.00,0.00313,0.001929,0.000934,0.01048
"8",1,11609.00,0.00344,0.002068,0.001059,0.01117
"9",1,11638.00,0.00375,0.002207,0.001184,0.01189
"10",1,11654.00,0.00406,0.002347,0.001308,0.01261
"11",1,11678.00,0.00434,0.002472,0.001422,0.01326
"12",1,11682.00,0.00462,0.002598,0.001535,0.01391
"13",1,11683.00,0.00489,0.002718,0.001644,0.01454
"14",1,11687.00,0.00517,0.002845,0.001758,0.01520
"15",1,11687.00,0.00545,0.002972,0.001871,0.01587
"16",1,11689.00,0.00573,0.003099,0.001984,0.01654
"17",1,11739.00,0.00598,0.003212,0.002085,0.01713
"18",1,11740.00,0.00623,0.003324,0.002187,0.01773
"19",1,11752.00,0.00646,0.003431,0.002284,0.01830
"20",1,11791.00,0.00670,0.003537,0.002380,0.01886
"21",1,11792.00,0.00693,0.003643,0.002476,0.01942
"22",1,11851.00,0.00717,0.003749,0.002572,0.01998
"23",1,11851.00,0.00740,0.003855,0.002668,0.02054
"24",1,11853.00,0.00764,0.003962,0.002764,0.02111
"25",1,11879.00,0.00786,0.004062,0.002854,0.02165
"26",1,11916.00,0.00807,0.004156,0.002938,0.02214
"27",1,11918.00,0.00827,0.004249,0.003023,0.02264
"28",1,11929.00,0.00847,0.004337,0.003102,0.02311
"29",1,11949.00,0.00866,0.004424,0.003180,0.02357
"30",1,11960.00,0.00885,0.004511,0.003259,0.02404
"31",1,11961.00,0.00903,0.004594,0.003333,0.02447
"32",1,11968.00,0.00923,0.004681,0.003412,0.02494
"33",1,11971.00,0.00942,0.004769,0.003491,0.02541
"34",1,11986.00,0.00961,0.004857,0.003570,0.02588
"35",1,11993.00,0.00980,0.004942,0.003646,0.02633
