Age x	lx	dx	px	qx	cv(qx)	Lx	Tx	ex	cv(ex)
0 years	100000	569	0.99431	0.00569	2.9	99489	7736682	77.37	0.07
1 year	99431	33	0.99967	0.00033	11.8	99414	7637193	76.81	0.07
2 years	99398	19	0.99981	0.00019	15.1	99386	7537779	75.83	0.07
3 years	99379	19	0.99981	0.00019	15.5	99369	7438393	74.85	0.07
4 years	99360	17	0.99982	0.00018	16.7	99350	7339024	73.86	0.07
5 years	99343	18	0.99982	0.00018	20.6	99334	7239674	72.88	0.07
6 years	99325	13	0.99987	0.00013	29.4	99319	7140340	71.89	0.07
7 years	99312	10	0.99990	0.00010	35.4	99307	7041021	70.90	0.07
8 years	99302	9	0.99991	0.00009	34.7	99298	6941714	69.90	0.07
9 years	99293	9	0.99991	0.00009	33.2	99289	6842416	68.91	0.07
10 years	99284	10	0.99990	0.00010	31.0	99279	6743127	67.92	0.07
11 years	99274	10	0.99990	0.00010	29.5	99270	6643848	66.92	0.08
12 years	99264	14	0.99986	0.00014	29.1	99257	6544578	65.93	0.08
13 years	99250	20	0.99980	0.00020	20.0	99240	6445321	64.94	0.08
14 years	99230	28	0.99972	0.00028	15.8	99216	6346081	63.95	0.08
15 years	99202	37	0.99963	0.00037	15.7	99183	6246865	62.97	0.08
16 years	99165	45	0.99954	0.00046	16.0	99142	6147682	61.99	0.08
17 years	99120	52	0.99948	0.00052	15.2	99094	6048540	61.02	0.08
18 years	99068	57	0.99943	0.00057	13.0	99039	5949446	60.05	0.08
19 years	99011	60	0.99939	0.00061	11.2	98981	5850407	59.09	0.08
20 years	98951	63	0.99936	0.00064	11.4	98920	5751426	58.12	0.09
21 years	98888	65	0.99934	0.00066	12.9	98855	5652506	57.16	0.09
22 years	98823	66	0.99933	0.00067	13.6	98790	5553651	56.20	0.09
23 years	98757	68	0.99932	0.00068	12.5	98723	5454861	55.24	0.09
24 years	98689	67	0.99932	0.00068	11.0	98656	5356138	54.27	0.09
25 years	98622	66	0.99933	0.00067	11.1	98589	5257482	53.31	0.09
26 years	98556	66	0.99933	0.00067	12.7	98524	5158893	52.34	0.09
27 years	98490	66	0.99933	0.00067	13.5	98457	5060369	51.38	0.09
28 years	98424	67	0.99931	0.00069	12.4	98390	4961912	50.41	0.10
29 years	98357	69	0.99930	0.00070	10.7	98323	4863522	49.45	0.10
30 years	98288	71	0.99928	0.00072	10.5	98252	4765199	48.48	0.10
31 years	98217	74	0.99925	0.00075	11.6	98179	4666947	47.52	0.10
32 years	98143	78	0.99921	0.00079	11.9	98105	4568768	46.55	0.10
33 years	98065	81	0.99917	0.00083	10.6	98024	4470663	45.59	0.10
34 years	97984	85	0.99913	0.00087	9.0	97942	4372639	44.63	0.11
35 years	97899	91	0.99907	0.00093	8.7	97853	4274697	43.66	0.11
36 years	97808	97	0.99901	0.00099	9.4	97759	4176844	42.70	0.11
